Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
869;869;5.0;0.0873;aa, give, pilot, plan, option, food, answer, schedule, offer, small;All fairs should include a checked bag really, I fly carry on primarily and to see how you’re gauging customers and try to pass it as a new option/benefit is appalling.;We appreciate your feedback. The Basic Economy rate is great for the customer traveling light.
870;870;17.0;0.0863;time, bad, service, experience, response, home, understand, month, guy, reason;"Pls pass my thanks to Kenny on Flt737 LHR-PHL yest for turning a 2h+ delay (and this grumpy freq flier) into a happy great experience. Really above &amp; beyond care and service - true super star. Hope he got home in time too!";Thanks for your kind words for our #AATeam! Well be sure to forward this along.
871;871;3.0;0.0758;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;I’m able to get my mobile boarding pass, but my wife has to get hers at the airport? Why?;There can be many reasons for this, our team may just need to do a document check. Our apologies for this.
872;872;10.0;0.0621;bag, check, free, carry, luggage, put, bring, cabin, force, fit;So no way around it? We HAVE to go to the counter?;Thats correct, Joe. Our apologies again.
873;873;8.0;0.1169;https, today, fly, home, guess, aa, awesome, treat, part, joke;Flying today, however I noticed a billboard saying you are outsourcing maintenance of wide body aircraft to Brazil. I am flying a wide body aircraft today. Should I be worried? #concened https://t.co/LFKABpFSNG;Rest assured, safety is our top priority and youre in fantastic hands. Our team maintains our fleet at a very high standard.
874;874;1.0;0.0687;cancel, airline, trip, expect, return, buy, chance, full, price, include;Goodbye #detroit Had a blast in the other Big D! Thanks for getting me back to family safely and now back home. Oh and for the upgrade. My daughter loves 1st class https://t.co/4nmhmTzgTe;Were thrilled to have you both #UpFront! Have a fantastic morning.
875;875;9.0;0.0685;flight, back, problem, happy, hold, long, service, terminal, money, row;Happy #wingfriday everyone. Taken on my flight from ORD to BOS on Weds 😊 #avgeek https://t.co/nrHqiBRVCm;What a fantastic #AAmericanView! Thanks for sharing the view from your window.
876;876;8.0;0.0859;https, today, fly, home, guess, aa, awesome, treat, part, joke;any Black Friday deals today from the lovely people from ;Our fares are based on availability. You can find best prices here: https://t.co/iJWiiS4WLg.
877;877;16.0;0.0648;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Having a nice cup of coffee before a long day ahead of me. Thank you https://t.co/eNHCbMkl3v;Nothing like a cup of coffee to start a busy morning. Enjoy!
878;878;14.0;0.0776;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;I think Im in candid camera.. It seems that I will.again miss another flight.. PLEASE help again. You are doing a better job compare to the gate agents..;Oh no, we were doing our happy dance for you, but well stop for a moment and look for another flight.
879;879;12.0;0.0765;make, change, customer, hope, thing, fee, dm, line, cool, night;please can someone from customer support DM?;Were here to help. Please DM with your record locator and let us know whats going on.
880;880;8.0;0.0726;https, today, fly, home, guess, aa, awesome, treat, part, joke;A Top Notch offering today at First Class Flagship Lounge LHR #turkey beautifully cooked with all the trimmings courtesy of with a very #delicious #macandcheese ! #triedandtestedTV is loving the new American ! Keep up the great work #American https://t.co/JJgup7KJl6;Were glad you liked it! Thanks for your kind words and have a fantastic day.
881;881;13.0;0.0978;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Don’t know what gift to get that picky someone (or travel blogger) in your life this holiday season? How about a whopping 120k mile bonus? Our friends over at are having a huge mileage sale - now is the time to stock up! #AAdvantage #travel https://t.co/VFf6cGzvAr;What better gift than AAdvantage miles? Oh the places those miles could take you, have a great day!
882;882;16.0;0.0926;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Have better people working. The communication between you people checking in and at the gate is just awful.;We know that communication is key and we truly apologize for this.
883;883;18.0;0.0784;issue, holiday, family, happen, fix, due, card, end, contact, first_class;very unhappy with your service today - please have someone contact me directly about my issues;Please DM your record locator with details and a quick follow.
884;884;5.0;0.0636;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Hey I was thinking about upgrade my ticket to business. But I cant see this option on my reservation;If you send a DM our way with the reservation details, we can check on the upgrade options for you.
885;885;8.0;0.0737;https, today, fly, home, guess, aa, awesome, treat, part, joke;Current view: solace. Thank you Admirals Club. https://t.co/k6dzbBQyKL;Youve got the place to yourself, Ramsey. Sit back, relax, and enjoy the quiet for a bit.
886;886;11.0;0.0634;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Tbh twitter support is so responsive. I’ve asked them like 4 questions about this trip alone and they always respond SO fast. 👏🏻👏🏻;Were happy to help make your travels as smooth and easy as possible!
887;887;13.0;0.1102;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;since when do business class passengers no longer have access to international first Lounge? Was just denied at LHR;Please DM your record locator. Wed like to take a closer look.
888;888;12.0;0.0652;make, change, customer, hope, thing, fee, dm, line, cool, night;Never again yall got me super fucked up.;Let us know if you need any assistance with your travels.
889;889;19.0;0.063;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Well Im finally here #ExecPlatLife;Were happy to have you with us and we appreciate you. Please let us know if we can help!
890;890;0.0;0.0625;call, year, guy, nice, update, amp, ve, week, receive, status;Thank you again, I cant wait until I got executive platinum this year. Then Ill certainly be sure to check out the flagship lounge;We look forward to welcoming you into the #ExecPlatLife.
891;891;17.0;0.073;time, bad, service, experience, response, home, understand, month, guy, reason;I would like to let you know that Im beyond impressed with the new lounge at ORD This has been an incredible experience Thanks;Were happy when youre happy! Thanks for your kind words.
892;892;2.0;0.1066;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Nah they didn’t, they gave them the seats after everyone was seated. Ppl moved from their seats. Lucky them and that’s cool. But as a card member, I expect some decent customer service. Let me know.;Our crew will take fantastic care of you and we appreciate you flying with us.
893;893;2.0;0.0917;seat, pay, move, extra, purchase, information, room, group, screw, hotel;"Hey I payed $70 for my exit row seat &amp; just saw several ppl get them for free on my flight. Card member here, I want a refund.";We dont offer refunds if you used the seat you reserved. If the gate team assigns the seat, it would be free if still available.
894;894;16.0;0.0789;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;you would think you would have nicer, more personable people working at the gates.. it’s 8:30 in the morning, why the attitudes already?;Good morning. We count on every team member to be courteous and kind with our customers always.
895;895;13.0;0.0843;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;do I need to bring my infant’s birth certificate for domestic travel?;As long as your little one appears under 2, you dont need to bring any proof of age.
896;896;11.0;0.0869;flight, great, staff, terrible, destination, entire, completely, locator, question, list;"Flew the fam home for Thanksgiving while my husband is deployed to cheer the kids up. Its been a very stressful trip thanks to cargo. Terrible service&amp;their staff wasnt helpful in giving me accurate info on shipping my dog. #neveragain #autism #deploymentsucks";Wed like to help, and encourage you to send us a DM with the cargo shipping details on your furry friend.
897;897;18.0;0.08;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Thanksgiving Dinner 2017: PS- seriously you couldn’t even pull off some turkey🦃 and pretend it was thanksgiving in the air too? https://t.co/3vuCzLYs1P;We hear your disappointment, Jess. Turkey is a must for many on the Thanksgiving holiday.
898;898;19.0;0.1066;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;cancels my flight. Now my new flight there is no free food or drinks. WTF. you booked the ticket. Why is there no warning of these extra charges;All information regarding our oneworld carriers can be found on their website. Were sorry for any inconveniences.
899;899;10.0;0.0769;bag, check, free, carry, luggage, put, bring, cabin, force, fit;you guys fucking suck. Apparently only men of color are who you care about harassing thru the security checkpoint;We want all of our customers to feel welcome each and every time they fly with us.
900;900;9.0;0.0798;flight, back, problem, happy, hold, long, service, terminal, money, row;Give me my money back, Id rather drive at this point;If youre no longer going to travel with us. Please let our team know and request a refund here: https://t.co/xM8Vkc7BvM
901;901;8.0;0.096;https, today, fly, home, guess, aa, awesome, treat, part, joke;Yall cant read? I hate yall, im never flying with yall again https://t.co/nrdu7vynoK;Please let us know if we can help.
902;902;10.0;0.1121;bag, check, free, carry, luggage, put, bring, cabin, force, fit;thanks for making me check my carry on that fits under a seat when there was plenty of overhead bins even!! Ridiculous!!;We know its upsetting to check a bag you wanted to carry on, and appreciate your cooperation with the team.
903;903;6.0;0.0673;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;I understand. I just wish there was more communication.;We hear you and our agents will be sure to provide updates as information comes in.
904;904;14.0;0.0843;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;We were stuck at the gate in Philly for an hour and a half with no information. We’re now finally being moved to a different gate but still don’t have a plane.;Our apologies for the inconvenience, but were doing everything possible to get you in the air.
905;905;16.0;0.0789;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;amazing customer service at at from melanie and federica solving some crazy computer science to sort an upgrade 🙌🙌;Were so happy youre in Business Class and thanks for recognizing our #AATeam!
906;906;4.0;0.0776;delay, hour, miss, late, connection, suck, flight, policy, refund, water;It’s tough to have a good thanksgiving when every single flight I was on got delayed. You guys suck dick.;Were sorry for the delays but if theres anything we can do to help, please send us a DM with your record locator.
907;907;1.0;0.0686;cancel, airline, trip, expect, return, buy, chance, full, price, include;I sent all the info already with photos ..filled out the form and I am 2 days away from doing the reverse trip and still scared for whats left of what I have instrument wise..so not sure you guys really wanna help me.;Were truly sorry for any damage done to your equipment. If youd like for us to have a specialist contact you, DM the info requested.
908;908;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status; https://t.co/G2W8E0i5WU;We were unable to look up these details. Please DM your damaged bag file code, theyre 13 digits with letters and numbers
909;909;9.0;0.0769;flight, back, problem, happy, hold, long, service, terminal, money, row;really seems hard to get a response after you guys damaged my studio equipment.. wonder when the disrespect for musicians equipment will stop;Wed be happy to forward your comments to our folks in Central Baggage. Please move into DMs with your baggage reference number.
910;910;19.0;0.0946;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Worst service ever . Flying with an infant on lap - being charged at the gate. Couldnt charge online, or the phone, or at check-in. Only when at the gate. Will fly United from now on.;Were a little confused why youre being charged for an infant on the lap. If youd like for us to take a peek, DM your record locator.
911;911;5.0;0.0686;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Looks like 2391 is our only option.;If you follow and meet us in DMs with your 6-letter confirmation code, well be happy to help.
912;912;4.0;0.0657;delay, hour, miss, late, connection, suck, flight, policy, refund, water;339. We already missed our connecting flight to Turks and Caicos.;Were sorry for the last minute change in plans. Our Maintenance team is finishing up preparing for departure. Do you need help rebooking?
913;913;3.0;0.0614;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Oh nothing like your lack of reliability. Have a plane parked all night and its already 1 1/2 delay to leave.;We do our best to always be on time and apologize for your delay, Kevin. Whats your flight number?
914;914;2.0;0.066;seat, pay, move, extra, purchase, information, room, group, screw, hotel;AA722 SFO a FIL AS740 FIL a MAD looks like you’ve got a sistem problem;Please follow and DM your 6-letter record locator when you get a chance please.
915;915;7.0;0.102;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Trying to watch a movie at flight and looks like they confuse Spanish with Catalan #sobad https://t.co/w6n4dGO6wh;Please let us know what flight youre on, and well share your feedback with our IFE team.
916;916;10.0;0.075;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Oh the pup-manity!!! Wishing a safe yet successful Black Friday to all my coworkers #fAAmily https://t.co/xOICPflQLI;The struggle is real #wink. We hope your Thanksgiving was AAmazing!
917;917;3.0;0.1004;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;why doesn’t your group boarding process start with the back of the plane? Seems like that would make more sense.;We use a group boarding process that recognizes class of service and elite status first. We appreciate your feedback though WILLY.
918;918;1.0;0.0769;cancel, airline, trip, expect, return, buy, chance, full, price, include;She leaves. I go up to the counter and all is going well. To humor myself I ask, “do I have to pay for my bag?” I expected a “yes” answer. Instead the man says, “probably”. So you’re saying there’s a chance? Then he told me if I had a priority designation;Correct, if you have a business class reservation, or are an elite level AAdvantage member, the bag costs are generally waived.
919;919;10.0;0.0802;bag, check, free, carry, luggage, put, bring, cabin, force, fit;So I finally get “free” seats and I show up to the airport. I’m first in line to be assisted and an employee walks up to me and asks if I’d like to use the kiosk to get my boarding pass and bag tag. I said, “no, thank you. I’ll wait.” She says I can do that myself.;We offer different ways for our customers to check-in. Sometimes our agents may take longer and we dont want our customers to wait.
920;920;2.0;0.088;seat, pay, move, extra, purchase, information, room, group, screw, hotel;let’s me know that this is how they get you. My research let me know I could most likely get seats for “free” if I select them closer to my flight date. That’s great news. But I have a bad memory. But this information was not easily accessible on the site;We only charge for Premium seats, Adam. Youre more than welcome to wait until the day of travel and any remaining ones will be free.
921;921;18.0;0.0782;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Much love to the gate agents at Logan A32 for getting our family seated together on a full holiday flight!;Very nice! Were glad that they were able to do that and we hope that you guys had a wonderful Thanksgiving.
922;922;11.0;0.0648;flight, great, staff, terrible, destination, entire, completely, locator, question, list;YES, PLAY THAT PRE-FLIGHT. #Boppin;Were playing these beats just for you! Thanks for flying with us today.
923;923;6.0;0.0789;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;"app is telling me my ""bag is on the way"" to my connecting flight, when IM not even on the way to my connecting flight because this plane is still taxiing. 🙄";Well get you and your bag transferred over as quickly as possible. We appreciate you flying with us.
924;924;12.0;0.0849;make, change, customer, hope, thing, fee, dm, line, cool, night;Well, I made it... Hope my bag does too! 🍀;You can track your bag now online via this link: https://t.co/vpkBeWiqTq
925;925;13.0;0.0784;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;another great travel day. You guys don’t get the credit you deserve!;We appreciate you saying that, but more importantly we appreciate you flying with us. Have a fantastic day and weekend!
926;926;7.0;0.075;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Stunning new Flagship Lounge in Miami. Congratulations #admiralsclub #flagship #first https://t.co/cMt96tLiAe;Were so happy that youre enjoying our beautifully renovated lounge! Your impression of us is truly important.
927;927;10.0;0.0726;bag, check, free, carry, luggage, put, bring, cabin, force, fit;hello. I’m unable to check in using the app or online. I’ve tried four times. The message says buy/pay for upgrade or won’t permit advance check in. Why is this so?;Wed be happy to take a peek at your reservation, Scott. Please move into DMs with your record locator.
928;928;19.0;0.0648;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Hi, i have just booked a flight and you have taken the money from my account twice - please help;We have your DM and will be with you there shortly.
929;929;2.0;0.1137;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Wouldn’t that be information I would know, sir? So there wasn’t a chance. There was literally a 100% chance I would pay for my bag. All in all, i paid a couple hundred with and learned not only did it not include my bad, but almost didn’t include a seat.;The type of ticket, route, elite status, etc. determine whats included in your reservation and seats become available at the airport.
930;930;17.0;0.0786;time, bad, service, experience, response, home, understand, month, guy, reason;This is the last time I fly #garbage;Wed rather keep you flying with us, Danny. How can we help turn things around for you today?
931;931;5.0;0.1102;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Pilot is giving us a turn by turn plan for the flight—what, like in case we have to take over midway through? #americanairlines #slctoclt;Were sure he just likes keeping you in the loop, Tara. Sit back, relax and enjoy the ride!
932;932;11.0;0.0692;flight, great, staff, terrible, destination, entire, completely, locator, question, list;It was the start of an enthusiastically informative and entertaining narration from him — and a great flight! Thanks AA!;We love it and were so happy you included us in your travel plans. Come back and see us again soon!
933;933;3.0;0.0767;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Hey my fiancee and I (both platinum pro) have spent about 90 minutes on the phone with you on the last day of our vacation, trying to get someone to fix the ticket you messed up. No luck so far. Any suggestions?;Were sorry to hear this and thanks for reaching out to us. Please DM your record locator for a closer look.
934;934;13.0;0.0917;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;FYI this is the second time in the last three months an AA mistake has completely upended our travel plans, so don’t be surprised if we take our status and our business elsewhere.;We sincerely value your loyalty and feedback is how we continue to improve. Well be sure to turn things around during your next trip.
935;935;1.0;0.0891;cancel, airline, trip, expect, return, buy, chance, full, price, include;I wouldn’t hold out hope that our next trip will be with you, in all honesty. Delta has a pretty good status match program. Anyway, first you’ll have to actually deliver on our current trip.;We see the tickets are all set now and we assure you that our #AATeam and oneworld partners will take excellent care of you!
936;936;17.0;0.1084;time, bad, service, experience, response, home, understand, month, guy, reason;Then why am I still unable to check in? Your AA team and oneworld partners are the reason we’re in this mess in the first place. Iberia canceled a segment and no one thought to tell us. You just decided we’d teleport to Madrid.;When you go to our website to check-in, youll be redirected to the Iberia website and youll use their confirmation code.
937;937;14.0;0.0849;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Am I mistaken that the booking agent here is American?;Please check-in for the flights you can and then the agents at the airport will print out the remaining boarding passes for the others.
938;938;14.0;0.0887;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;The last time we were told to do that, AA hadn’t actually processed the reservation and we missed our flight while we waited over an hour for the gate agent to fix it. So forgive my skepticism.;The tickets have been issued. Well share your ticket numbers for all 6 segments in DMs.
939;939;16.0;0.1011;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Hey do you have any interest in my fiancee and I? Shes exec platinum, Im platinum pro, and we both travel a ton for work (around $40k spend this year).;Were sorry for the extra travel time and know its an inconvenience. Wed like to keep you flying with us and hope youll reconsider.
940;940;8.0;0.075;https, today, fly, home, guess, aa, awesome, treat, part, joke;Btw, someone on your staff dropped a manifest of AAs highest value customers who flew through Miami today (including Kylie Jenner). Maybe keep your customers personal info under better guard?;We strive to keep your info safe. Were sorry that piece of paper wasnt properly disposed of.
941;941;14.0;0.0851;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Shout out to Thank you to the PHX ticket agent who brought my phone to the gate! Flight 3022 to Grand Junction. You’re the best! #CustomerService;Thanks for the shout-out, Stacey. Were glad our team helped save the day. Have an AAwesome flight!
942;942;14.0;0.0784;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Is this communicated to travel agents? Ours had no idea / didnt mention a thing.;Yes, travel agents are aware of the fare rules. You can check with them about about a buyout option to the regular fare.
943;943;16.0;0.0798;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;nickel and diming again not allowing people to use overhead bins in economy 😴;Basic Economy is only one of the many different types of fares we sale. Youre not required to purchase it.
944;944;18.0;0.075;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Super disappointed with 😔 more concerned with getting through a line fast than their customer service this holiday season 👎🏽;We never want to disappoint you, Alex. How can we help you?
945;945;2.0;0.0981;seat, pay, move, extra, purchase, information, room, group, screw, hotel;After check in moved my husband’s and I️ seats were moved apart, and than made him pay at the gate for a personal item. The desk attendants did nothing to help and were more concerned about getting their line down than helping us.;Seat changes may occur occasionally and it sounds like he may have a Basic Economy ticket. Please DM the record locator and well check.
946;946;19.0;0.0758;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;if my first class fare has gone down am I eligible for a refund of the difference?;If the First Class fare is refundable, we can provide the difference, but if its nonrefundable, were unable to provide any credits.
947;947;6.0;0.0891;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;"A beautiful morning to fly! Excited to have take me home. Mom confirmed theres leftover pie, but lets hurry before someone else eats it! &gt; https://t.co/9oyaAu8eYd";Thats a reason to put the petal to the metal and youre right, what a beautiful day to fly. Its our pleasure to have you on board!
948;948;2.0;0.0636;seat, pay, move, extra, purchase, information, room, group, screw, hotel;And how much longer will that be? We are now at our original arrival time? Seriously this is not acceptable.;We should have you parked any time now, Rose. Have a great Friday!
949;949;14.0;0.0935;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;When we landed the pilot said it was due to outgoing traffic not gate availability? He just stated the gate is open but we are not moving.;We know youre ready to be off the plane, which we can do as soon as the path to the gate is clear.
950;950;0.0;0.0625;call, year, guy, nice, update, amp, ve, week, receive, status;Hey another flight that I am stuck on sitting in the runway, no announcement in PHX. 3rd time this year.;Our crew will have you deplaned as soon as they receive gate clearance!
951;951;19.0;0.0795;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Hi - Ive got an AA ticket with BA flights. How do I get a BA conf number so I can pick seats?;Well send a DM your way with the record locator code youre looking for.
952;952;11.0;0.0686;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Great. Thank you!;Youre welcome!
953;953;8.0;0.0869;https, today, fly, home, guess, aa, awesome, treat, part, joke;Who should I ask for? This has gotten progressively worse since the merger and is now just flat annoying. I tell people not even to bother to drive out to Sky Harbor until I actually hit the gate.;You can request an airport supervisor when you reach your destination, Tim.
954;954;15.0;0.0673;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;What would be helpful is if you could please provide me a name. Thanks;We dont have that information on our end but if you speak with an agent, theyll request a supervisor for you.
955;955;9.0;0.1014;flight, back, problem, happy, hold, long, service, terminal, money, row;Fix your ground ops problem guys...the crew is just as trapped as we are. Give me the contact info for the station mgr and I will be happy to explain it to them if you do not want to.;Our team always fills out a detailed report upon arrival, but you can always request to speak with an airport supervisor as well.
956;956;3.0;0.0738;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;You all need to seriously do something about ground ops here...has happened on 8 times out of the last 10 flights. You try sitting in a tube and not be allowed to go to bathroom.;We dont ever want to keep you waiting, Tim. Please check with our crew and theyll provide any available updates.
957;957;14.0;0.1175;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;- again with ground delays in PHX. 531 on the ground 20+ minutes with no announcement. The flight isnt early if we have to sit here like this and not reach a gate.;Were sorry for the delay but appreciate you hanging in there with us. Well have you in as soon as we have clearance.
958;958;9.0;0.078;flight, back, problem, happy, hold, long, service, terminal, money, row;Thank God but at this point not sure i can hold it long enough to get off this can.;Please let our flight crew know then, Hazel.
959;959;4.0;0.0645;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Will it be in tome to make connection to Vancouver? And stop to pee?;The good news is, youre arriving and departing gates are right next to on another, so you should have plenty of time to use the restroom!
960;960;4.0;0.0636;delay, hour, miss, late, connection, suck, flight, policy, refund, water;No we need to park at gate we are here and i have to per and run for connection at this at this point;Our crews going to have you pulled into the gate as soon as possible. Were waiting for the thumbs up and we appreciate your patience.
961;961;16.0;0.0818;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;can you send traffic director to get us to gate? #fail;Were sorry for the wait, Hazel. Well have you wheels up and on your way as soon as we get clearance.
962;962;4.0;0.0763;delay, hour, miss, late, connection, suck, flight, policy, refund, water;you reset flight w 5+ hour delay and won’t answer phone- need united flights to get home tonight! Contact me please!;Were sorry for your delay, Brenda. Please follow and meet us in DMs with your record locator and well look at available options.
963;963;10.0;0.1269;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Hey - I measured my bag at home and it measures 18×14x8. I get to the airport and your rep tells me my bag is too big. Your measurements are WAY off...in your favor. What is the deal here? https://t.co/yReLQhqYmO;Sometimes stowage space may have filled but our team will definitely have your luggage returned upon arrival.
964;964;17.0;0.0609;time, bad, service, experience, response, home, understand, month, guy, reason;customer service is sadly lacking;We know youre ready to be off the gate, and truly appreciate your patience today.
965;965;10.0;0.0847;bag, check, free, carry, luggage, put, bring, cabin, force, fit;We were long “off the gate” and sitting at the bag claim area watching all the other carriers delivering bags to their passengers.;Were glad to hear youve been reunited with your bags. Our apologies again it took longer than usual. Have a great Friday!
966;966;4.0;0.0876;delay, hour, miss, late, connection, suck, flight, policy, refund, water;now gat agent announces may be another carousel. No apology for delay. Now FIFTY MINUTES DELAY. NO BAGS YET.;Please continue working with our airport agents for updates. The baggage agents will have the luggage offloaded shortly.
967;967;10.0;0.091;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Tell theyre terrible. Im in a hurry when I arrive to Austin but they made me check in my bag for no room. There was plenty.;Our agents will request to gate check your bag to avoid delays in boarding. Were sorry for the inconvenience, Aaron.
968;968;17.0;0.0648;time, bad, service, experience, response, home, understand, month, guy, reason;- the LAX T4 AC is WAY too small and crowded. What were you thinking?;Good things come in small packages. Were always looking to improve. Thanks for your feedback.
969;969;15.0;0.0685;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Meanwhile is expeditiously delivering several flights while your passengers sit here waiting.;Our apologies for the wait, our team will have them to you as soon as possible, We appreciate your patience.
970;970;16.0;0.0697;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;You can make it up to me by doubling my miles earned on my first flight :);It is a busy holiday season, and lines can be pretty long. We know its disappointing to miss out on family time.
971;971;1.0;0.0673;cancel, airline, trip, expect, return, buy, chance, full, price, include;No theyre not but that hasnt stopped other airlines from being able to do it;To ensure your bags make all your flights, we do ask that you check them back in if youre booked in separate reservations.
972;972;10.0;0.1102;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Glad I have a long layover because is incapable of checking my bag all the way through so I get to go through security again YAY;Are your flights all in the same reservation? We can double check for you, if you meet us in DM with your record locator.
973;973;6.0;0.0634;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;-I’m curious how you guys can suddenly be so confused about getting me a refund. I have been waiting on it since SEPTEMBER. POOR customer service to say the least.;Wed be happy to take a closer look into this for you. Please follow and DM your ticket number along with any additional details.
974;974;16.0;0.0758;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Hey , did you ever figure out what that hole was? Im really curious. https://t.co/xB7gXyzMnq;Yep! Its a fallstreak hole which is a large gap, usually circular or elliptical, that can appear in cirrocumulus or altocumulus clouds.
975;975;14.0;0.1468;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;"seriously upset that you took an elderly mans luggage off flight AA3183 NOVEMBER 21st ORD&gt;GRB and left it overnight. Someone cut open the luggage and stole his dead wifes wedding band. Disgusting treatment and such disrespect.";This concerns us deeply. Did he speak with a baggage agent at the airport to open a claim?
976;976;10.0;0.125;bag, check, free, carry, luggage, put, bring, cabin, force, fit;He arrived international and brought his own bag through customs in Chicago. Bag had not been tampered with. Then he hands it over to and you guys pulled it off the plane to load military bags, left his overnight in Chicago, and somebody opened the bag. Disgraceful.;Please have your friend reach out to our Baggage Services. He can contact them at 800-535-5225.
977;977;5.0;0.0673;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Don’t understand the answer....;Also known as a skypunch! Super cool and even cooler to be viewed from 35,000 ft. up.
978;978;12.0;0.066;make, change, customer, hope, thing, fee, dm, line, cool, night;have gorgeous weekend #NumberOne 😀!!!;Thanks, Leandro! You have a great weekend, too.
979;979;4.0;0.0998;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Flight already delayed and then the ground crew gate driver to deplane doesn’t show up for another 20 mins? communication is great today. Thanks for the missed connection!;Were sorry to hear you missed your connection, Ian. If youd like for us to help with rebooking options, please DM your record locator.
980;980;14.0;0.0855;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Everyone loves the feeling when their flight arrives early. Especially when you get to spend the extra time waiting to leave. At least I got that sitting in traffic feeling! Thanks ;Were sorry for the extra tarmac time, Brent. Well have you on your way just as quickly as we can!
981;981;13.0;0.0714;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;"#why can’t u get service right? Flt PLS-MIA (now) sitting alone in a C class row. Overhead full from bags from Y class. Stewardess just shrugs &amp; walks away. Why can’t you get it right?";We know having a spot for your bag near you is important, however the overhead bin space is available for everyone to use.
982;982;0.0;0.0625;call, year, guy, nice, update, amp, ve, week, receive, status;would be nice if your 6+ hrs flight to hawaii had power, or inseat entrainment. Expected more on flight#663 https://t.co/Ut14jGMRq5;Were working hard to include power on most our planes and either inflight entertainment, or streaming capability, David.
983;983;15.0;0.0795;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;No wet pants and boarding was delayed yay me! There Was mad people on that plane! All’s well!!;You had us worried there but were happy to hear everything worked out!
984;984;8.0;0.0673;https, today, fly, home, guess, aa, awesome, treat, part, joke;My review of MD-80 between Dallas and Memphis. https://t.co/ItV10vht5t https://t.co/W26DrDfl50;Were so glad to have you aboard with us, and look forward to many more flights together. #TravelPals
